content_signature,canonical_name,selected_file_id,duplicate_count,all_file_ids,original_names,original_urls,file_types
"terveys 2 lumikot|preentation,video","terveys 2, lumikot.mp4",1gZYUwleztr9pb0sDHZCIVMm7ZqbvVYHg,2,1gZYUwleztr9pb0sDHZCIVMm7ZqbvVYHg | 1gZYUwleztr9pb0sDHZCIVMm7ZqbvVYHg,"terveys 2, lumikot.mp4 | terveys 2, lumikot.mp4Video",https://drive.google.com/file/d/1gZYUwleztr9pb0sDHZCIVMm7ZqbvVYHg/view?usp=drivesdk | https://drive.google.com/file/d/1gZYUwleztr9pb0sDHZCIVMm7ZqbvVYHg/view?usp=drivesdk,video | preentation
"luento62terveys1ope 2|pdf,preentation",Luento62terveys1.Ope (2).pdf,1q_Rf2dmyOU55kCJb_KtWScq4jDwzmV8o,2,1q_Rf2dmyOU55kCJb_KtWScq4jDwzmV8o | 1q_Rf2dmyOU55kCJb_KtWScq4jDwzmV8o,Luento62terveys1.Ope (2).pdf | Luento62terveys1.Ope (2).pdfPDF,https://drive.google.com/file/d/1q_Rf2dmyOU55kCJb_KtWScq4jDwzmV8o/view?usp=drivesdk | https://drive.google.com/file/d/1q_Rf2dmyOU55kCJb_KtWScq4jDwzmV8o/view?usp=drivesdk,pdf | preentation
"terveys 1 lumikot|preentation,video","terveys 1, lumikot.mp4",1B9RaIA6MUCU1qLrJ3wFxpWpw4k3481tF,2,1B9RaIA6MUCU1qLrJ3wFxpWpw4k3481tF | 1B9RaIA6MUCU1qLrJ3wFxpWpw4k3481tF,"terveys 1, lumikot.mp4 | terveys 1, lumikot.mp4Video",https://drive.google.com/file/d/1B9RaIA6MUCU1qLrJ3wFxpWpw4k3481tF/view?usp=drivesdk | https://drive.google.com/file/d/1B9RaIA6MUCU1qLrJ3wFxpWpw4k3481tF/view?usp=drivesdk,video | preentation
"spoken_ luonto ja terveys|pdf,preentation",Spoken_ Luonto ja terveys.pdf,1FMdhdBT1gtkt90AfLPuveioT-1uaUQsf,2,1FMdhdBT1gtkt90AfLPuveioT-1uaUQsf | 1FMdhdBT1gtkt90AfLPuveioT-1uaUQsf,Spoken_ Luonto ja terveys.pdf | Spoken_ Luonto ja terveys.pdfPDF,https://drive.google.com/file/d/1FMdhdBT1gtkt90AfLPuveioT-1uaUQsf/view?usp=drivesdk | https://drive.google.com/file/d/1FMdhdBT1gtkt90AfLPuveioT-1uaUQsf/view?usp=drivesdk,pdf | preentation
"spoken_ luonto ja terveys - muistiinpanot 47|pdf,preentation",Spoken_ luonto ja terveys - muistiinpanot 4.7..pdf,17C9-AWmJ_ebinku8dDNWDPYPJtSoZEFO,2,17C9-AWmJ_ebinku8dDNWDPYPJtSoZEFO | 17C9-AWmJ_ebinku8dDNWDPYPJtSoZEFO,Spoken_ luonto ja terveys - muistiinpanot 4.7..pdf | Spoken_ luonto ja terveys - muistiinpanot 4.7..pdfPDF,https://drive.google.com/file/d/17C9-AWmJ_ebinku8dDNWDPYPJtSoZEFO/view?usp=drivesdk | https://drive.google.com/file/d/17C9-AWmJ_ebinku8dDNWDPYPJtSoZEFO/view?usp=drivesdk,pdf | preentation
"video1086585802|preentation,video",video1086585802.mp4,1suhufjL__7cBuywtnksuTdXgcHqzKChQ,2,1suhufjL__7cBuywtnksuTdXgcHqzKChQ | 1suhufjL__7cBuywtnksuTdXgcHqzKChQ,video1086585802.mp4 | video1086585802.mp4Video,https://drive.google.com/file/d/1suhufjL__7cBuywtnksuTdXgcHqzKChQ/view?usp=drivesdk | https://drive.google.com/file/d/1suhufjL__7cBuywtnksuTdXgcHqzKChQ/view?usp=drivesdk,video | preentation
"4matkustaminen|pdf,preentation",4.matkustaminen.pdf,1B4WQ9Y35bW6lkjNZw7vRsNfQ8oMJA4fB,2,1B4WQ9Y35bW6lkjNZw7vRsNfQ8oMJA4fB | 1B4WQ9Y35bW6lkjNZw7vRsNfQ8oMJA4fB,4.matkustaminen.pdf | 4.matkustaminen.pdfPDF,https://drive.google.com/file/d/1B4WQ9Y35bW6lkjNZw7vRsNfQ8oMJA4fB/view?usp=drivesdk | https://drive.google.com/file/d/1B4WQ9Y35bW6lkjNZw7vRsNfQ8oMJA4fB/view?usp=drivesdk,pdf | preentation
"3matkustaminen|pdf,preentation",3.matkustaminen.pdf,1PFlsID68z_lEFAmkKzNfltACYdHRLJzL,2,1PFlsID68z_lEFAmkKzNfltACYdHRLJzL | 1PFlsID68z_lEFAmkKzNfltACYdHRLJzL,3.matkustaminen.pdf | 3.matkustaminen.pdfPDF,https://drive.google.com/file/d/1PFlsID68z_lEFAmkKzNfltACYdHRLJzL/view?usp=drivesdk | https://drive.google.com/file/d/1PFlsID68z_lEFAmkKzNfltACYdHRLJzL/view?usp=drivesdk,pdf | preentation
"2matkustaminen|pdf,preentation",2.matkustaminen.pdf,16qO_Zc2FxwLcXZBk_Ev9Ya4m2SR2tRmv,2,16qO_Zc2FxwLcXZBk_Ev9Ya4m2SR2tRmv | 16qO_Zc2FxwLcXZBk_Ev9Ya4m2SR2tRmv,2.matkustaminen.pdf | 2.matkustaminen.pdfPDF,https://drive.google.com/file/d/16qO_Zc2FxwLcXZBk_Ev9Ya4m2SR2tRmv/view?usp=drivesdk | https://drive.google.com/file/d/16qO_Zc2FxwLcXZBk_Ev9Ya4m2SR2tRmv/view?usp=drivesdk,pdf | preentation
"1matkustaminen|pdf,preentation",1.matkustaminen.pdf,1xUyVzulNHa9MgYSolw7FsQRI3pUo2-JQ,2,1xUyVzulNHa9MgYSolw7FsQRI3pUo2-JQ | 1xUyVzulNHa9MgYSolw7FsQRI3pUo2-JQ,1.matkustaminen.pdf | 1.matkustaminen.pdfPDF,https://drive.google.com/file/d/1xUyVzulNHa9MgYSolw7FsQRI3pUo2-JQ/view?usp=drivesdk | https://drive.google.com/file/d/1xUyVzulNHa9MgYSolw7FsQRI3pUo2-JQ/view?usp=drivesdk,pdf | preentation
"luento59vapaa-aika2 ope|pdf,preentation",Luento59vapaa-aika2 Ope.pdf,1Nc8dBpyvgTWDkQY47Ijzgwr0fQN_gzkG,2,1Nc8dBpyvgTWDkQY47Ijzgwr0fQN_gzkG | 1Nc8dBpyvgTWDkQY47Ijzgwr0fQN_gzkG,Luento59vapaa-aika2 Ope.pdf | Luento59vapaa-aika2 Ope.pdfPDF,https://drive.google.com/file/d/1Nc8dBpyvgTWDkQY47Ijzgwr0fQN_gzkG/view?usp=drivesdk | https://drive.google.com/file/d/1Nc8dBpyvgTWDkQY47Ijzgwr0fQN_gzkG/view?usp=drivesdk,pdf | preentation
"muistiinpanot luento 59 372023|pdf,preentation","Muistiinpanot luento 59, 3.7.2023.pdf",1xtqhoiDuKfkrcVZEpuwe1vCIzKlcGZze,2,1xtqhoiDuKfkrcVZEpuwe1vCIzKlcGZze | 1xtqhoiDuKfkrcVZEpuwe1vCIzKlcGZze,"Muistiinpanot luento 59, 3.7.2023.pdf | Muistiinpanot luento 59, 3.7.2023.pdfPDF",https://drive.google.com/file/d/1xtqhoiDuKfkrcVZEpuwe1vCIzKlcGZze/view?usp=drivesdk | https://drive.google.com/file/d/1xtqhoiDuKfkrcVZEpuwe1vCIzKlcGZze/view?usp=drivesdk,pdf | preentation
75 päivää kk-talviloma lähestyy|preentation,75. päivää kk-talviloma lähestyy.mp3Audio,1T8SBwtf6lfMtD5Akoe5oAdkdsVlPTrtl,2,1T8SBwtf6lfMtD5Akoe5oAdkdsVlPTrtl | 1T8SBwtf6lfMtD5Akoe5oAdkdsVlPTrtl,75. päivää kk-talviloma lähestyy.mp3 | 75. päivää kk-talviloma lähestyy.mp3Audio,https://drive.google.com/file/d/1T8SBwtf6lfMtD5Akoe5oAdkdsVlPTrtl/view?usp=drivesdk | https://drive.google.com/file/d/1T8SBwtf6lfMtD5Akoe5oAdkdsVlPTrtl/view?usp=drivesdk,preentation
