original_url,new_url,name,id,original_id,local_file,match_score,consolidated_from,file_types
https://docs.google.com/document/d/1fyOPYWq4cHvHLFJ8kud76DMl6WI8W1VJHIbS9fz69Dg/edit?usp=drivesdk,https://docs.google.com/document/d/1aKefz2lLiXKVytBXyNnpxyE7BBEb9Ecygi_wVLOfN6s/edit?usp=drivesdk,"-minen-muoto, lumikot",1aKefz2lLiXKVytBXyNnpxyE7BBEb9Ecygi_wVLOfN6s,1fyOPYWq4cHvHLFJ8kud76DMl6WI8W1VJHIbS9fz69Dg,"-minen-muoto, lumikot.docx",1.300,,"google doc?, preentation, document"
https://docs.google.com/document/d/1fyOPYWq4cHvHLFJ8kud76DMl6WI8W1VJHIbS9fz69Dg/edit?usp=drivesdk,https://docs.google.com/document/d/1VrTCcAEvwcB9cAlQ7YinSxumg3TMjr0zoCorl4pkzzQ/edit?usp=drivesdk,"-minen-muoto, lumikot",1VrTCcAEvwcB9cAlQ7YinSxumg3TMjr0zoCorl4pkzzQ,1fyOPYWq4cHvHLFJ8kud76DMl6WI8W1VJHIbS9fz69Dg,"-minen-muoto, lumikot.docx",1.300,,"google docs, google doc?, preentation, document"
https://drive.google.com/file/d/1xxlBnS5rbd3skCLub6niD3HlHvn0qubA/view?usp=drivesdk,https://drive.google.com/file/d/1WZZgpWDNlvFiAcafCb4Ncbspck4Fq8R7/view?usp=drivesdk,1.4. minen-muoto.pdf,1WZZgpWDNlvFiAcafCb4Ncbspck4Fq8R7,1xxlBnS5rbd3skCLub6niD3HlHvn0qubA,1.4. minen-muoto.pdf,1.300,https://drive.google.com/file/d/1xxlBnS5rbd3skCLub6niD3HlHvn0qubA/view?usp=drivesdk | https://drive.google.com/file/d/1xxlBnS5rbd3skCLub6niD3HlHvn0qubA/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/11EZlWQNKZV3o3WsrlPLuD5NEpCKQDkbr/view?usp=drivesdk,https://drive.google.com/file/d/1FpKFNIhGqCLd1ccov7AwQ-6ej7CXcQcn/view?usp=drivesdk,"minen, lumikot.mp4",1FpKFNIhGqCLd1ccov7AwQ-6ej7CXcQcn,11EZlWQNKZV3o3WsrlPLuD5NEpCKQDkbr,"minen, lumikot.mp4",1.300,https://drive.google.com/file/d/11EZlWQNKZV3o3WsrlPLuD5NEpCKQDkbr/view?usp=drivesdk | https://drive.google.com/file/d/11EZlWQNKZV3o3WsrlPLuD5NEpCKQDkbr/view?usp=drivesdk,"video, preentation"
https://drive.google.com/file/d/1u0mD1SoToVwtlv80sILD_rIsFj-kKCXF/view?usp=drivesdk,https://drive.google.com/file/d/1PXV3R5S0BpanNcuVwN60Tgso0dNy78gW/view?usp=drivesdk,"mod 6-7 orientaatio, lumikot.mp4",1PXV3R5S0BpanNcuVwN60Tgso0dNy78gW,1u0mD1SoToVwtlv80sILD_rIsFj-kKCXF,"mod 6-7 orientaatio, lumikot.mp4",1.300,https://drive.google.com/file/d/1u0mD1SoToVwtlv80sILD_rIsFj-kKCXF/view?usp=drivesdk | https://drive.google.com/file/d/1u0mD1SoToVwtlv80sILD_rIsFj-kKCXF/view?usp=drivesdk,"video, preentation"
https://drive.google.com/file/d/1lnt9cgcsSBFNN0nGEXSbYHheusvmWPdq/view?usp=drivesdk,https://drive.google.com/file/d/1ldL_s5uvWrmmLlP8bDiaut1Yzx2X8qyc/view?usp=drivesdk,UUSI! Puhetestin teemat.pdf,1ldL_s5uvWrmmLlP8bDiaut1Yzx2X8qyc,1lnt9cgcsSBFNN0nGEXSbYHheusvmWPdq,UUSI! Puhetestin teemat.pdf,1.300,https://drive.google.com/file/d/1lnt9cgcsSBFNN0nGEXSbYHheusvmWPdq/view?usp=drivesdk | https://drive.google.com/file/d/1lnt9cgcsSBFNN0nGEXSbYHheusvmWPdq/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/1Ybje7YHJIf_8UDKepQkJUmiO8D_ihuZz/view?usp=drivesdk,https://drive.google.com/file/d/1_D6NBV8K4-77yFQ0Mn2TtH0dBJAoXQ5_/view?usp=drivesdk,lumikotm5.PNGImage,1_D6NBV8K4-77yFQ0Mn2TtH0dBJAoXQ5_,1Ybje7YHJIf_8UDKepQkJUmiO8D_ihuZz,lumikotm5.PNG,0.800,https://drive.google.com/file/d/1Ybje7YHJIf_8UDKepQkJUmiO8D_ihuZz/view?usp=drivesdk | https://drive.google.com/file/d/1Ybje7YHJIf_8UDKepQkJUmiO8D_ihuZz/view?usp=drivesdk,preentation
https://drive.google.com/file/d/1iqVXHaav-hKzuiAdF0pdu8W9s_oK0p_m/view?usp=drivesdk,https://drive.google.com/file/d/1MmUZYB23xsO9iWIn40g5T4BwEg-BB-2m/view?usp=drivesdk,1.4 minen.CLASS.pptx.pdf,1MmUZYB23xsO9iWIn40g5T4BwEg-BB-2m,1iqVXHaav-hKzuiAdF0pdu8W9s_oK0p_m,1.4 minen.CLASS.pptx.pdf,1.300,https://drive.google.com/file/d/1iqVXHaav-hKzuiAdF0pdu8W9s_oK0p_m/view?usp=drivesdk | https://drive.google.com/file/d/1iqVXHaav-hKzuiAdF0pdu8W9s_oK0p_m/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/1mYcW9oLtpxXKLRW_HSIuFVTmULyrqOQi/view?usp=drivesdk,https://drive.google.com/file/d/1t0KIovOaArGW8RWWwAl_U77ZVSPxV1OY/view?usp=drivesdk,13.7. Lumikot Työ ja yhteiskunta.pdf,1t0KIovOaArGW8RWWwAl_U77ZVSPxV1OY,1mYcW9oLtpxXKLRW_HSIuFVTmULyrqOQi,13.7. Lumikot Työ ja yhteiskunta.pdf,1.300,https://drive.google.com/file/d/1mYcW9oLtpxXKLRW_HSIuFVTmULyrqOQi/view?usp=drivesdk | https://drive.google.com/file/d/1mYcW9oLtpxXKLRW_HSIuFVTmULyrqOQi/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/17CI-iOZnqXqHSMSnLvQlCbxgqOAvI6by/view?usp=drivesdk,https://drive.google.com/file/d/1SwybeWkgl69q0TH962kwrSzi_uXSdoXa/view?usp=drivesdk,GMT20230713-073316_Recording_1920x1020.mp4,1SwybeWkgl69q0TH962kwrSzi_uXSdoXa,17CI-iOZnqXqHSMSnLvQlCbxgqOAvI6by,GMT20230713-073316_Recording_1920x1020.mp4,1.300,https://drive.google.com/file/d/17CI-iOZnqXqHSMSnLvQlCbxgqOAvI6by/view?usp=drivesdk | https://drive.google.com/file/d/17CI-iOZnqXqHSMSnLvQlCbxgqOAvI6by/view?usp=drivesdk,"video, preentation"
https://docs.google.com/document/d/1VoyQb2Os2Z-pcwTPUBEh-f1Ww7C8oSPES762cXKGU4Y/edit?usp=drivesdk,https://docs.google.com/document/d/1bjBFe_5Dsji8z5GVnXyAtxQuLqLbdv3EwcqHZlXhfLk/edit?usp=drivesdk,"Yhteiskunta, lumikot",1bjBFe_5Dsji8z5GVnXyAtxQuLqLbdv3EwcqHZlXhfLk,1VoyQb2Os2Z-pcwTPUBEh-f1Ww7C8oSPES762cXKGU4Y,"Yhteiskunta, lumikot.docx",1.300,,"google doc?, preentation, document"
https://docs.google.com/document/d/1VoyQb2Os2Z-pcwTPUBEh-f1Ww7C8oSPES762cXKGU4Y/edit?usp=drivesdk,https://docs.google.com/document/d/1b7dAIoYjCeS91XO1kHByW43uzJ5bj7bsdA0Oi98GvdA/edit?usp=drivesdk,"Yhteiskunta, lumikot",1b7dAIoYjCeS91XO1kHByW43uzJ5bj7bsdA0Oi98GvdA,1VoyQb2Os2Z-pcwTPUBEh-f1Ww7C8oSPES762cXKGU4Y,"Yhteiskunta, lumikot.docx",1.300,,"google docs, google doc?, preentation, document"
https://drive.google.com/file/d/1AMlzF43aHF9mMVPjN72xU44v5VlhNSeK/view?usp=drivesdk,https://drive.google.com/file/d/1hgcERx9JpAJE--tRDdz-f4dUpBWZy0_a/view?usp=drivesdk,yhteiskunta Yhdistetty ope (1).pdf,1hgcERx9JpAJE--tRDdz-f4dUpBWZy0_a,1AMlzF43aHF9mMVPjN72xU44v5VlhNSeK,yhteiskunta Yhdistetty ope (1).pdf,1.300,https://drive.google.com/file/d/1AMlzF43aHF9mMVPjN72xU44v5VlhNSeK/view?usp=drivesdk | https://drive.google.com/file/d/1AMlzF43aHF9mMVPjN72xU44v5VlhNSeK/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/1TAfq3ErWzMGbMAUfVCq9kUWfZxQidmJJ/view?usp=drivesdk,https://drive.google.com/file/d/1qd5Ua_YtdRMUJGaP4GccNmAqSYTvWA1V/view?usp=drivesdk,suomi teksti ja kysymykset.pdf,1qd5Ua_YtdRMUJGaP4GccNmAqSYTvWA1V,1TAfq3ErWzMGbMAUfVCq9kUWfZxQidmJJ,suomi teksti ja kysymykset.pdf,1.300,https://drive.google.com/file/d/1TAfq3ErWzMGbMAUfVCq9kUWfZxQidmJJ/view?usp=drivesdk | https://drive.google.com/file/d/1TAfq3ErWzMGbMAUfVCq9kUWfZxQidmJJ/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/1EeVI7nhMv8GiTnkIPos7XL7IhB7wbyKo/view?usp=drivesdk,https://drive.google.com/file/d/1b7tSio_H6c27qEwh-4UStM5QMp9u09v_/view?usp=drivesdk,"yhteiskunta, lumikot.mp4",1b7tSio_H6c27qEwh-4UStM5QMp9u09v_,1EeVI7nhMv8GiTnkIPos7XL7IhB7wbyKo,"yhteiskunta, lumikot.mp4",1.300,https://drive.google.com/file/d/1EeVI7nhMv8GiTnkIPos7XL7IhB7wbyKo/view?usp=drivesdk | https://drive.google.com/file/d/1EeVI7nhMv8GiTnkIPos7XL7IhB7wbyKo/view?usp=drivesdk,"video, preentation"
https://drive.google.com/file/d/1XrMDh1HKVWuOUzTAORI23yIufEAOP5qu/view?usp=drivesdk,https://drive.google.com/file/d/1Flq0GVMc91U9eF_O3YXJGhkwqtXOEyPn/view?usp=drivesdk,marjan työpäivä (1).pdf,1Flq0GVMc91U9eF_O3YXJGhkwqtXOEyPn,1XrMDh1HKVWuOUzTAORI23yIufEAOP5qu,marjan työpäivä (1).pdf,1.300,https://drive.google.com/file/d/1XrMDh1HKVWuOUzTAORI23yIufEAOP5qu/view?usp=drivesdk | https://drive.google.com/file/d/1XrMDh1HKVWuOUzTAORI23yIufEAOP5qu/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/14G7K6kM1k9ZcPg9iGs9ASkqZ78dW_Ahd/view?usp=drivesdk,https://drive.google.com/file/d/1uF4VtXVrZrXMCIQzvK-cgnu8x0zHNNrs/view?usp=drivesdk,Muistiinpanot Lumikot 11.7..pdf,1uF4VtXVrZrXMCIQzvK-cgnu8x0zHNNrs,14G7K6kM1k9ZcPg9iGs9ASkqZ78dW_Ahd,Muistiinpanot Lumikot 11.7..pdf,1.300,https://drive.google.com/file/d/14G7K6kM1k9ZcPg9iGs9ASkqZ78dW_Ahd/view?usp=drivesdk | https://drive.google.com/file/d/14G7K6kM1k9ZcPg9iGs9ASkqZ78dW_Ahd/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY/view?usp=drivesdk,https://drive.google.com/file/d/12IMKqMa54W1SdOVkQ6PYTqJmzylbgXs0/view?usp=drivesdk,11.7. Lumikot 65 Työ ja opiskelu yhdistetty Ope.pptx.pdf,12IMKqMa54W1SdOVkQ6PYTqJmzylbgXs0,1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY,11.7. Lumikot 65 Työ ja opiskelu yhdistetty Ope.pptx.pdf,1.300,https://drive.google.com/file/d/1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY/view?usp=drivesdk | https://drive.google.com/file/d/1AXUoR1D_RnbHQnRPjW-8TQm7ss_NhOXY/view?usp=drivesdk,"pdf, preentation"
https://drive.google.com/file/d/1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS/view?usp=drivesdk,https://drive.google.com/file/d/1BZQUJauGUUp38EbVoOhdrmm5ANlfZV4i/view?usp=drivesdk,GMT20230711-060218_Recording_1920x1020.mp4,1BZQUJauGUUp38EbVoOhdrmm5ANlfZV4i,1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS,GMT20230711-060218_Recording_1920x1020.mp4,1.300,https://drive.google.com/file/d/1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS/view?usp=drivesdk | https://drive.google.com/file/d/1JWL6fYmnscJcZD4Gl2_sh_XqXawEG3yS/view?usp=drivesdk,"video, preentation"
https://drive.google.com/file/d/10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69/view?usp=drivesdk,https://drive.google.com/file/d/1R7sMtmKSBvK-aAubExYjcRvUbG8lcR2O/view?usp=drivesdk,Luento64terveys3 Ope.pdf,1R7sMtmKSBvK-aAubExYjcRvUbG8lcR2O,10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69,Luento64terveys3 Ope.pdf,1.300,https://drive.google.com/file/d/10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69/view?usp=drivesdk | https://drive.google.com/file/d/10qAhL1w2d7Lxei-z0BDCqD_hacjHhK69/view?usp=drivesdk,"pdf, preentation"
https://docs.google.com/document/d/1HtUdgc3wdRC5M0Dm9913nA8rOJsLgkb-ODOciKpx72Q/edit?usp=drivesdk,https://docs.google.com/document/d/1yTth70n27wO4uSJAIqWzVzXdzurIeuJzPH8NRg_s47o/edit?usp=drivesdk,"Terveys 3, lumikot",1yTth70n27wO4uSJAIqWzVzXdzurIeuJzPH8NRg_s47o,1HtUdgc3wdRC5M0Dm9913nA8rOJsLgkb-ODOciKpx72Q,"Terveys 3, lumikot.docx",1.300,,"google doc?, preentation, document"
